t,b,s,h,l,v
1580005866,8322.58,8323.14,8420,8282.25,22175.842053
1580005866,8322.58,8323.14,8420,8282.25,22175.842053
1580005866,8322.58,8323.14,8420,8282.25,22175.842053
1580005866,8322.58,8323.14,8420,8282.25,22175.842053
1580005867,8322.59,8323.16,8420,8282.25,22175.596318
1580005867,8322.59,8323.15,8420,8282.25,22175.593911
1580005867,8322.59,8323.15,8420,8282.25,22175.593911
1580005867,8322.59,8323.16,8420,8282.25,22175.593911
1580005867,8322.58,8323.15,8420,8282.25,22175.593911
1580005867,8322.58,8323.01,8420,8282.25,22175.591504
1580005868,8322.57,8323.8,8420,8282.25,22175.735512
1580005868,8322.6,8323.8,8420,8282.25,22175.550293
1580005868,8322.66,8323.8,8420,8282.25,22175.550293
1580005868,8322.67,8323.8,8420,8282.25,22175.550293
1580005868,8322.67,8323.8,8420,8282.25,22175.550293
1580005868,8322.67,8323.8,8420,8282.25,22175.550293
1580005868,8322.67,8323.8,8420,8282.25,22175.550293
1580005868,8322.67,8323.8,8420,8282.25,22175.550293
1580005869,8322.67,8323.8,8420,8282.25,22175.546469
1580005870,8322.69,8323.8,8420,8282.25,22175.547869
1580005870,8322.69,8323.79,8420,8282.25,22175.547869
1580005870,8322.69,8323.79,8420,8282.25,22175.547869
1580005870,8322.69,8323.78,8420,8282.25,22175.547869
1580005870,8322.69,8323.77,8420,8282.25,22175.547869
1580005870,8322.69,8323.73,8420,8282.25,22175.618086
1580005870,8322.69,8323.79,8420,8282.25,22175.618086
1580005870,8322.69,8323.78,8420,8282.25,22175.618086
1580005870,8322.67,8323.73,8420,8282.25,22175.618086
1580005871,8322.56,8323.68,8420,8282.25,22175.618086
1580005871,8322.56,8323.63,8420,8282.25,22175.618086
1580005871,8322.56,8323.58,8420,8282.25,22175.618086
1580005871,8322.56,8323.6,8420,8282.25,22175.618086
1580005871,8322.56,8323.65,8420,8282.25,22175.618086
1580005871,8322.57,8323.63,8420,8282.25,22175.618086
1580005871,8322.59,8323.63,8420,8282.25,22175.618086
1580005872,8322.61,8323.63,8420,8282.25,22175.618086
1580005872,8322.62,8323.63,8420,8282.25,22175.618086
1580005872,8322.64,8323.65,8420,8282.25,22175.89231
1580005872,8322.65,8323.79,8420,8282.25,22175.89231
1580005872,8322.66,8323.79,8420,8282.25,22175.749221
1580005872,8322.66,8323.79,8420,8282.25,22175.749221
1580005872,8322.66,8323.79,8420,8282.25,22175.749221
1580005872,8322.66,8323.8,8420,8282.25,22175.749221
1580005872,8322.66,8323.8,8420,8282.25,22175.749221
1580005872,8322.66,8323.8,8420,8282.25,22175.749221
1580005872,8322.66,8323.8,8420,8282.25,22175.749221
1580005873,8322.68,8323.8,8420,8282.25,22175.749221
1580005873,8322.66,8323.8,8420,8282.25,22175.747867
1580005873,8322.66,8323.8,8420,8282.25,22175.747867
1580005874,8322.65,8323.65,8420,8282.25,22175.747867
1580005874,8322.58,8323.62,8420,8282.25,22175.747867
1580005874,8322.58,8323.61,8420,8282.25,22175.747867
1580005874,8322.58,8323.57,8420,8282.25,22175.747867
1580005874,8322.59,8323.51,8420,8282.25,22175.747867
1580005874,8322.59,8323.51,8420,8282.25,22175.750528
1580005874,8322.6,8323.54,8420,8282.25,22175.750528
1580005875,8322.61,8323.8,8420,8282.25,22175.750528
1580005875,8322.63,8323.5,8420,8282.25,22175.576208
1580005875,8322.6,8323.5,8420,8282.25,22175.576208
1580005875,8322.61,8323.5,8420,8282.25,22175.576208
1580005875,8322.62,8323.5,8420,8282.25,22175.576208
1580005875,8322.63,8323.5,8420,8282.25,22175.576208
1580005875,8322.64,8323.5,8420,8282.25,22175.576208
1580005875,8322.65,8323.5,8420,8282.25,22175.617623
1580005875,8322.65,8323.5,8420,8282.25,22175.617623
1580005875,8322.65,8323.5,8420,8282.25,22175.617623
1580005875,8322.65,8323.5,8420,8282.25,22175.617623
1580005875,8322.65,8323.5,8420,8282.25,22175.617623
1580005876,8322.65,8323.49,8420,8282.25,22175.617623
1580005876,8322.65,8323.48,8420,8282.25,22175.618944
1580005876,8322.65,8323.5,8420,8282.25,22175.618944
1580005876,8322.66,8323.5,8420,8282.25,22175.618944
1580005876,8322.67,8323.5,8420,8282.25,22175.616022
1580005876,8322.67,8323.5,8420,8282.25,22175.616022
1580005876,8322.67,8323.5,8420,8282.25,22175.616022
1580005876,8322.67,8323.5,8420,8282.25,22175.616022
1580005877,8322.59,8323.5,8420,8282.25,22175.616022
1580005877,8322.58,8323.63,8420,8282.25,22175.601377
1580005878,8322.58,8323.63,8420,8282.25,22175.298289
1580005878,8322.58,8323.63,8420,8282.25,22175.299525
1580005878,8322.59,8323.63,8420,8282.25,22175.299525
1580005878,8322.59,8323.63,8420,8282.25,22175.299525
1580005878,8322.59,8323.63,8420,8282.25,22175.280883
1580005878,8322.6,8323.63,8420,8282.25,22175.280883
1580005879,8322.61,8323.61,8420,8282.25,22175.268859
1580005879,8322.62,8323.63,8420,8282.25,22175.303749
1580005879,8322.62,8323.63,8420,8282.25,22175.303749
